Emission, Altitude_km, Transatlantic_Corridor, South_Arabian_Sea, Units
NO, 20.4, -2.349771, -4.292349, mDU / Gg(NO2)/yr
NO, 16.2,  2.09359, 1.977015, mDU / Gg(NO2)/yr
SO, 20.4, -34.564107, -39.638947, mDU / Gg(S)/yr
SO, 16.2, -21.974293, -16.766857, mDU / Gg(S)/yr
H2O, 20.4, -7.872601, -11.193613, mDU / Tg(H2O)/yr
H2O, 16.2, -1.415918, 0.021432, mDU / Tg(H2O)/yr
