Emission, Altitude_km, Transatlantic_Corridor, South_Arabian_Sea, Units
NO, 20.4, 0.047692, 0.067503, mW/m² / Gg(NO2)/yr
NO, 16.2, 0.038316, 0.040481, mW/m² / Gg(NO2)/yr
SO, 20.4, -1.021486, -1.247346, mW/m² / Gg(S)/yr
SO, 16.2, -0.59654, -0.439871, mW/m² / Gg(S)/yr
H2O, 20.4, 0.331299, 0.496576, mW/m² / Tg(H2O)/yr
H2O, 16.2, 0.081315, 0.00253, mW/m² / Tg(H2O)/yr
